AÑO;MES;DIA;HORA;IDEAM
2006;1;16;18;626.512.271
2006;1;16;19;0
2006;1;16;20;0
2006;1;16;21;0
2006;1;16;22;0
2006;1;16;23;0
2006;1;17;0;0
2006;1;17;1;0
2006;1;17;2;0
2006;1;17;3;0
2006;1;17;4;0
2006;1;17;5;0
2006;1;17;6;0
2006;1;17;7;2.268.406.498
2006;1;17;8;1.479.865.192
2006;1;17;9;3.164.967.162
2006;1;17;10;5.779.035.603
2006;1;17;11;5.649.412.375
2006;1;17;12;6.913.238.852
2006;1;17;13;6.708.002.074
2006;1;17;14;5.357.760.111
2006;1;17;15;4.720.445.904
2006;1;17;16;458.002.074
2006;1;17;17;2.678.880.055
2006;1;17;18;8.641.548.566
2006;1;17;19;0
2006;1;17;20;0
2006;1;17;21;0
2006;1;17;22;0
2006;1;17;23;0
2006;1;18;0;0
2006;1;18;1;0
2006;1;18;2;0
2006;1;18;3;0
2006;1;18;4;0
2006;1;18;5;0
2006;1;18;6;0.111744162
2006;1;18;7;1.188.212.928
2006;1;18;8;1.436.657.449
2006;1;18;9;266.807.812
2006;1;18;10;3.218.976.841
2006;1;18;11;7.107.673.695
2006;1;18;12;7.982.630.487
2006;1;18;13;8.274.282.751
2006;1;18;14;7.831.403.387
2006;1;18;15;671.880.401
2006;1;18;16;5.044.503.975
2006;1;18;17;2.938.126.512
2006;1;18;18;5.184.929.139
2006;1;18;19;0
2006;1;18;20;0
2006;1;18;21;0
2006;1;18;22;0
2006;1;18;23;0
2006;1;19;0;0
2006;1;19;1;0
2006;1;19;2;0
2006;1;19;3;0
2006;1;19;4;0
2006;1;19;5;0
2006;1;19;6;0
2006;1;19;7;1.620.290.356
2006;1;19;8;1.620.290.356
2006;1;19;9;3.715.865.883
2006;1;19;10;5.725.025.925
2006;1;19;11;7.323.712.409
2006;1;19;12;8.447.113.723
2006;1;19;13;8.533.529.208
2006;1;19;14;8.015.036.295
2006;1;19;15;7.507.345.316
2006;1;19;16;5.411.769.789
2006;1;19;17;3.208.174.905
2006;1;19;18;8.533.529.208
2006;1;19;19;0
2006;1;19;20;0
2006;1;19;21;0
2006;1;19;22;0
2006;1;19;23;0
2006;1;20;0;0
2006;1;20;1;0
2006;1;20;2;0
2006;1;20;3;0
2006;1;20;4;0
2006;1;20;5;0
2006;1;20;6;0
2006;1;20;7;2.160.387.141
2006;1;20;8;1.717.507.777
2006;1;20;9;3.715.865.883
2006;1;20;10;5.368.562.046
2006;1;20;11;7.388.524.024
2006;1;20;12;8.263.480.816
2006;1;20;13;8.490.321.466
2006;1;20;14;8.220.273.073
2006;1;20;15;6.999.654.338
2006;1;20;16;5.303.750.432
2006;1;20;17;3.164.967.162
2006;1;20;18;9.397.684.065
2006;1;20;19;0
2006;1;20;20;0
2006;1;20;21;0
2006;1;20;22;0
2006;1;20;23;0
2006;1;21;0;0
2006;1;21;1;0
2006;1;21;2;0
2006;1;21;3;0
2006;1;21;4;0
2006;1;21;5;0
2006;1;21;6;0
2006;1;21;7;2.052.367.784
2006;1;21;8;1.641.894.227
2006;1;21;9;352.143.104
2006;1;21;10;5.562.996.889
2006;1;21;11;7.129.277.567
2006;1;21;12;810.145.178
2006;1;21;13;8.382.302.109
2006;1;21;14;7.907.016.937
2006;1;21;15;679.441.756
2006;1;21;16;5.033.702.039
2006;1;21;17;2.894.918.769
2006;1;21;18;4.644.832.354
2006;1;21;19;0
2006;1;21;20;0
2006;1;21;21;0
2006;1;21;22;0
2006;1;21;23;0
2006;1;22;0;0
2006;1;22;1;0
2006;1;22;2;0
2006;1;22;3;0
2006;1;22;4;0
2006;1;22;5;0
2006;1;22;6;0
2006;1;22;7;183.632.907
2006;1;22;8;1.436.657.449
2006;1;22;9;3.435.015.555
2006;1;22;10;5.433.373.661
2006;1;22;11;6.934.842.724
2006;1;22;12;7.896.215.002
2006;1;22;13;8.209.471.137
2006;1;22;14;7.744.987.902
2006;1;22;15;6.621.586.588
2006;1;22;16;4.958.088.489
2006;1;22;17;2.862.512.962
2006;1;22;18;7.777.393.709
2006;1;22;19;0
2006;1;22;20;0
2006;1;22;21;0
2006;1;22;22;0
2006;1;22;23;0
2006;1;23;0;0
2006;1;23;1;0
2006;1;23;2;0
2006;1;23;3;0
2006;1;23;4;0
2006;1;23;5;0
2006;1;23;6;0
2006;1;23;7;1.512.270.999
2006;1;23;8;1.209.816.799
2006;1;23;9;3.456.619.426
2006;1;23;10;5.001.296.232
2006;1;23;11;6.805.219.495
2006;1;23;12;8.004.234.359
2006;1;23;13;7.204.891.116
2006;1;23;14;8.220.273.073
2006;1;23;15;679.441.756
2006;1;23;16;4.796.059.454
2006;1;23;17;2.873.314.898
2006;1;23;18;7.669.374.352
2006;1;23;19;0
2006;1;23;20;0
2006;1;23;21;0
2006;1;23;22;0
2006;1;23;23;0
2006;1;24;0;0
2006;1;24;1;0
2006;1;24;2;0
2006;1;24;3;0
2006;1;24;4;0
2006;1;24;5;0
2006;1;24;6;0.111744162
2006;1;24;7;1.115.266.293
2006;1;24;8;8.317.490.494
2006;1;24;9;3.121.759.419
2006;1;24;10;3.651.054.269
2006;1;24;11;5.703.422.053
2006;1;24;12;7.572.156.931
2006;1;24;13;7.853.007.259
2006;1;24;14;7.496.543.381
2006;1;24;15;6.740.407.881
2006;1;24;16;4.925.682.682
2006;1;24;17;2.786.899.412
2006;1;24;18;5.292.948.496
2006;1;24;19;0
2006;1;24;20;0
2006;1;24;21;0
2006;1;24;22;0
2006;1;24;23;0
2006;1;25;0;0
2006;1;25;1;0
2006;1;25;2;0
2006;1;25;3;0
2006;1;25;4;0
2006;1;25;5;0
2006;1;25;6;0
2006;1;25;7;1.296.232.285
2006;1;25;8;160.948.842
2006;1;25;9;1.706.705.842
2006;1;25;10;3.726.667.819
2006;1;25;11;5.422.571.725
2006;1;25;12;7.388.524.024
2006;1;25;13;7.129.277.567
2006;1;25;14;7.842.205.323
2006;1;25;15;6.610.784.653
2006;1;25;16;4.990.494.297
2006;1;25;17;2.862.512.962
2006;1;25;18;4.860.871.068
2006;1;25;19;0
2006;1;25;20;0
2006;1;25;21;0
2006;1;25;22;0
2006;1;25;23;0
2006;1;26;0;0
2006;1;26;1;0
2006;1;26;2;0
2006;1;26;3;0
2006;1;26;4;0
2006;1;26;5;0
2006;1;26;6;0
2006;1;26;7;1.296.232.285
2006;1;26;8;1.350.241.963
2006;1;26;9;3.478.223.298
2006;1;26;10;3.942.706.533
2006;1;26;11;6.016.678.189
2006;1;26;12;7.928.620.809
2006;1;26;13;8.349.896.301
2006;1;26;14;7.907.016.937
2006;1;26;15;6.686.398.203
2006;1;26;16;4.925.682.682
2006;1;26;17;259.246.457
2006;1;26;18;5.076.909.782
2006;1;26;19;0
2006;1;26;20;0
2006;1;26;21;0
2006;1;26;22;0
2006;1;26;23;0
2006;1;27;0;0
2006;1;27;1;0
2006;1;27;2;0
2006;1;27;3;0
2006;1;27;4;0
2006;1;27;5;0
2006;1;27;6;0
2006;1;27;7;1.315.266.293
2006;1;27;8;3.564.638.783
2006;1;27;9;183.632.907
2006;1;27;10;1.415.053.578
2006;1;27;11;1.263.826.478
2006;1;27;12;2.797.701.348
2006;1;27;13;5.465.779.468
2006;1;27;14;5.292.948.496
2006;1;27;15;5.303.750.432
2006;1;27;16;5.465.779.468
2006;1;27;17;2.797.701.348
2006;1;27;18;4.536.812.997
2006;1;27;19;0
2006;1;27;20;0
2006;1;27;21;0
2006;1;27;22;0
2006;1;27;23;0
2006;1;28;0;0
2006;1;28;1;0
2006;1;28;2;0
2006;1;28;3;0
2006;1;28;4;0
2006;1;28;5;0
2006;1;28;6;0
2006;1;28;7;1.404.251.642
2006;1;28;8;1.231.420.671
2006;1;28;9;2.711.285.862
2006;1;28;10;5.779.035.603
2006;1;28;11;7.226.494.988
2006;1;28;12;8.241.876.944
2006;1;28;13;8.522.727.273
2006;1;28;14;5.606.204.632
2006;1;28;15;6.621.586.588
2006;1;28;16;352.143.104
2006;1;28;17;2.387.227.791
2006;1;28;18;7.021.258.209
2006;1;28;19;0
2006;1;28;20;0
2006;1;28;21;0
2006;1;28;22;0
2006;1;28;23;0
2006;1;29;0;0
2006;1;29;1;0
2006;1;29;2;0
2006;1;29;3;0
2006;1;29;4;0
2006;1;29;5;0
2006;1;29;6;0
2006;1;29;7;3.132.561.355
2006;1;29;8;183.632.907
2006;1;29;9;2.387.227.791
2006;1;29;10;3.532.232.976
2006;1;29;11;5.789.837.539
2006;1;29;12;6.513.567.231
2006;1;29;13;6.632.388.524
2006;1;29;14;4.763.653.647
2006;1;29;15;4.569.218.804
2006;1;29;16;4.115.537.504
2006;1;29;17;1.361.043.899
2006;1;29;18;4.495.892.384
2006;1;29;19;0
2006;1;29;20;0
2006;1;29;21;0
2006;1;29;22;0
2006;1;29;23;0
2006;1;30;0;0
2006;1;30;1;0
2006;1;30;2;0
2006;1;30;3;0
2006;1;30;4;0
2006;1;30;5;0
2006;1;30;6;1.080.193.571
2006;1;30;7;2.376.425.856
2006;1;30;8;1.479.865.192
2006;1;30;9;3.607.846.526
2006;1;30;10;5.627.808.503
2006;1;30;11;7.215.693.052
2006;1;30;12;8.198.669.202
2006;1;30;13;8.522.727.273
2006;1;30;14;8.015.036.295
2006;1;30;15;6.902.436.917
2006;1;30;16;5.163.325.268
2006;1;30;17;2.797.701.348
2006;1;30;18;9.613.722.779
2006;1;30;19;0
2006;1;30;20;0
2006;1;30;21;0
2006;1;30;22;0
2006;1;30;23;0
2006;1;31;0;0
2006;1;31;1;0
2006;1;31;2;0
2006;1;31;3;0
2006;1;31;4;0
2006;1;31;5;0
2006;1;31;6;0
2006;1;31;7;183.632.907
2006;1;31;8;1.490.667.128
2006;1;31;9;2.786.899.412
2006;1;31;10;4.688.040.097
2006;1;31;11;5.013.339.094
2006;1;31;12;8.522.727.273
2006;1;31;13;8.792.775.665
2006;1;31;14;8.187.867.266
2006;1;31;15;7.086.069.824
2006;1;31;16;5.346.958.175
2006;1;31;17;3.089.353.612
2006;1;31;18;5.725.025.925
2006;1;31;19;0
2006;1;31;20;0
2006;1;31;21;0
2006;1;31;22;0
2006;1;31;23;0
2006;2;1;0;0
2006;2;1;1;0
2006;2;1;2;0
2006;2;1;3;0
2006;2;1;4;0
2006;2;1;5;0
2006;2;1;6;0
2006;2;1;7;3.132.561.355
2006;2;1;8;1.307.034.221
2006;2;1;9;4.072.329.761
2006;2;1;10;5.800.639.475
2006;2;1;11;5.757.431.732
2006;2;1;12;893.320.083
2006;2;1;13;8.663.152.437
2006;2;1;14;795.022.468
2006;2;1;15;5.465.779.468
2006;2;1;16;3.046.145.869
2006;2;1;17;2.117.179.399
2006;2;1;18;4.212.754.926
2006;2;1;19;0
2006;2;1;20;0
2006;2;1;21;0
2006;2;1;22;0
2006;2;1;23;0
2006;2;2;0;0
2006;2;2;1;0
2006;2;2;2;0
2006;2;2;3;0
2006;2;2;4;0
2006;2;2;5;0
2006;2;2;6;0
2006;2;2;7;1.129.524.468
2006;2;2;8;1.101.797.442
2006;2;2;9;2.019.961.977
2006;2;2;10;2.635.672.312
2006;2;2;11;3.067.749.741
2006;2;2;12;3.272.986.519
2006;2;2;13;3.564.638.783
2006;2;2;14;3.305.392.326
2006;2;2;15;6.167.905.289
2006;2;2;16;4.482.803.318
2006;2;2;17;1.587.884.549
2006;2;2;18;3.780.677.497
2006;2;2;19;0
2006;2;2;20;0
2006;2;2;21;0
2006;2;2;22;0
2006;2;2;23;0
2006;2;3;0;0
2006;2;3;1;0
2006;2;3;2;0
2006;2;3;3;0
2006;2;3;4;0
2006;2;3;5;0
2006;2;3;6;0
2006;2;3;7;1.620.290.356
2006;2;3;8;1.415.053.578
2006;2;3;9;2.948.999.083
2006;2;3;10;5.627.808.503
2006;2;3;11;6.783.615.624
2006;2;3;12;5.973.470.446
2006;2;3;13;7.166.034.158
2006;2;3;14;4.212.754.926
2006;2;3;15;1.933.546.492
2006;2;3;16;1.317.836.156
2006;2;3;17;1.123.401.314
2006;2;3;18;4.104.735.569
2006;2;3;19;0
2006;2;3;20;0
2006;2;3;21;0
2006;2;3;22;0
2006;2;3;23;0
2006;2;4;0;0
2006;2;4;1;0
2006;2;4;2;0
2006;2;4;3;0
2006;2;4;4;0
2006;2;4;5;0
2006;2;4;6;0
2006;2;4;7;1.728.309.713
2006;2;4;8;6.373.142.067
2006;2;4;9;1.857.932.942
2006;2;4;10;229.001.037
2006;2;4;11;5.022.900.104
2006;2;4;12;6.286.726.581
2006;2;4;13;6.986.034.158
2006;2;4;14;8.123.055.652
2006;2;4;15;4.634.030.418
2006;2;4;16;2.300.812.306
2006;2;4;17;9.289.664.708
2006;2;4;18;3.456.619.426
2006;2;4;19;0
2006;2;4;20;0
2006;2;4;21;0
2006;2;4;22;0
2006;2;4;23;0
2006;2;5;0;0
2006;2;5;1;0
2006;2;5;2;0
2006;2;5;3;0
2006;2;5;4;0
2006;2;5;5;0
2006;2;5;6;0
2006;2;5;7;1.728.309.713
2006;2;5;8;1.209.816.799
2006;2;5;9;3.478.223.298
2006;2;5;10;221.439.682
2006;2;5;11;2.808.503.284
2006;2;5;12;138.264.777
2006;2;5;13;5.379.363.982
2006;2;5;14;8.263.480.816
2006;2;5;15;5.141.721.396
2006;2;5;16;2.700.483.927
2006;2;5;17;5.508.987.211
2006;2;5;18;2.160.387.141
2006;2;5;19;0
2006;2;5;20;0
2006;2;5;21;0
2006;2;5;22;0
2006;2;5;23;0
2006;2;6;0;0
2006;2;6;1;0
2006;2;6;2;0
2006;2;6;3;0
2006;2;6;4;0
2006;2;6;5;0
2006;2;6;6;0
2006;2;6;7;2.329.524.468
2006;2;6;8;1.188.212.928
2006;2;6;9;8.533.529.208
2006;2;6;10;2.149.585.206
2006;2;6;11;3.856.291.047
2006;2;6;12;4.104.735.569
2006;2;6;13;596.266.851
2006;2;6;14;8.198.669.202
2006;2;6;15;5.505.801.504
2006;2;6;16;5.394.260.659
2006;2;6;17;2.769.305.219
2006;2;6;18;6.540.972.963
2006;2;6;19;0
2006;2;6;20;0
2006;2;6;21;0
2006;2;6;22;0
2006;2;6;23;0
2006;2;7;0;0
2006;2;7;1;0
2006;2;7;2;0
2006;2;7;3;0
2006;2;7;4;0
2006;2;7;5;0
2006;2;7;6;0.090016131
2006;2;7;7;2.929.524.468
2006;2;7;8;9.658.393.824
2006;2;7;9;2.538.999.083
2006;2;7;10;4.933.899.067
2006;2;7;11;5.687.209.306
2006;2;7;12;8.117.345.316
2006;2;7;13;8.836.034.158
2006;2;7;14;9.079.649.078
2006;2;7;15;4.925.801.504
2006;2;7;16;5.254.260.659
2006;2;7;17;3.589.305.219
2006;2;7;18;1.084.097.296
2006;2;7;19;0
2006;2;7;20;0
2006;2;7;21;0
2006;2;7;22;0
2006;2;7;23;0
2006;2;8;0;0
2006;2;8;1;0
2006;2;8;2;0
2006;2;8;3;0
2006;2;8;4;0
2006;2;8;5;0
2006;2;8;6;0.090016131
2006;2;8;7;1.329.524.468
2006;2;8;8;8.158.393.824
2006;2;8;9;3.068.999.083
2006;2;8;10;3.023.899.067
2006;2;8;11;8.147.209.306
2006;2;8;12;5.567.345.316
2006;2;8;13;1.183.603.416
2006;2;8;14;8.129.649.078
2006;2;8;15;7.815.801.504
2006;2;8;16;4.324.260.659
2006;2;8;17;2.399.305.219
2006;2;8;18;8.440.972.963
2006;2;8;19;0
2006;2;8;20;0
2006;2;8;21;0
2006;2;8;22;0
2006;2;8;23;0
2006;2;9;0;0
2006;2;9;1;0
2006;2;9;2;0
2006;2;9;3;0
2006;2;9;4;0
2006;2;9;5;0
2006;2;9;6;0.090016131
2006;2;9;7;2.829.524.468
2006;2;9;8;1.105.839.382
2006;2;9;9;3.168.999.083
2006;2;9;10;3.343.899.067
2006;2;9;11;6.647.209.306
2006;2;9;12;9.637.345.316
2006;2;9;13;1.042.603.416
2006;2;9;14;4.829.649.078
2006;2;9;15;5.865.801.504
2006;2;9;16;3.784.260.659
2006;2;9;17;1.909.305.219
2006;2;9;18;1.144.097.296
2006;2;9;19;0
2006;2;9;20;0
2006;2;9;21;0
2006;2;9;22;0
2006;2;9;23;0
2006;2;10;0;0
2006;2;10;1;0
2006;2;10;2;0
2006;2;10;3;0
2006;2;10;4;0
2006;2;10;5;0
2006;2;10;6;0.090016131
2006;2;10;7;1.529.524.468
2006;2;10;8;9.158.393.824
2006;2;10;9;4.428.999.083
2006;2;10;10;4.245.160.733
2006;2;10;11;7.042.862.081
2006;2;10;12;8.371.500.173
2006;2;10;13;8.738.765.987
2006;2;10;14;8.263.480.816
2006;2;10;15;6.913.238.852
2006;2;10;16;5.260.542.689
2006;2;10;17;3.078.551.676
2006;2;10;18;9.505.703.422
2006;2;10;19;0
2006;2;10;20;0
2006;2;10;21;0
2006;2;10;22;0
2006;2;10;23;0
2006;2;11;0;0
2006;2;11;1;0
2006;2;11;2;0
2006;2;11;3;0
2006;2;11;4;0
2006;2;11;5;0
2006;2;11;6;0
2006;2;11;7;183.632.907
2006;2;11;8;1.090.995.506
2006;2;11;9;2.678.880.055
2006;2;11;10;5.617.006.568
2006;2;11;11;7.280.504.666
2006;2;11;12;8.187.867.266
